Year,Month,Total
2004,Jan,1748388
2004,Feb,1454486
2004,Mar,1732326
2004,Apr,1736496
2004,May,1694392
2004,Jun,1646530
2004,Jul,1990705
2004,Aug,2066469
2004,Sep,1688300
2004,Oct,2015420
2004,Nov,1951991
2004,Dec,2085127
2005,Jan,1893078
2005,Feb,1745133
2005,Mar,1831699
2005,Apr,1943470
2005,May,1821923
2005,Jun,1742745
2005,Jul,2067240
2005,Aug,2120635
2005,Sep,1787728
2005,Oct,2145335
2005,Nov,2061493
2005,Dec,2198938
2006,Jan,2188816
2006,Feb,1934666
2006,Mar,2102768
2006,Apr,2127254
2006,May,1955615
2006,Jun,1888126
2006,Jul,2185610
2006,Aug,2358932
2006,Sep,1830189
2006,Oct,2194130
2006,Nov,2081772
2006,Dec,2403246
2007,Jan,2166553
2007,Feb,2286100
2007,Mar,2163164
2007,Apr,2176854
2007,May,2202343
2007,Jun,2034354
2007,Jul,2455224
2007,Aug,2758337
2007,Sep,2120835
2007,Oct,2568040
2007,Nov,2448135
2007,Dec,2789354
2008,Jan,2518566
2008,Feb,2352456
2008,Mar,2404499
2008,Apr,2419911
2008,May,2342146
2008,Jun,2147926
2008,Jul,2709375
2008,Aug,2679092
2008,Sep,2194840
2008,Oct,2532740
2008,Nov,2421457
2008,Dec,2783608
2009,Jan,2796099
2009,Feb,2162325
2009,Mar,2445289
2009,Apr,2439490
2009,May,2027572
2009,Jun,1826004
2009,Jul,2378298
2009,Aug,2834178
2009,Sep,2250718
2009,Oct,2761945
2009,Nov,2606085
2009,Dec,3062651
2010,Jan,2960319
2010,Feb,2866053
2010,Mar,2798316
2010,Apr,2796311
2010,May,2815295
2010,Jun,2619722
2010,Jul,3136794
2010,Aug,3455033
2010,Sep,2728107
2010,Oct,3258537
2010,Nov,3052390
2010,Dec,3543454
2011,Jan,3598030
2011,Feb,2923070
2011,Mar,3186871
2011,Apr,3357960
2011,May,3230028
2011,Jun,3035222
2011,Jul,3839388
2011,Aug,4065761
2011,Sep,3187091
2011,Oct,3794076
2011,Nov,3552733
2011,Dec,4151080
2012,Jan,4142042
2012,Feb,3371202
2012,Mar,3709484
2012,Apr,3840180
2012,May,3638934
2012,Jun,3620912
2012,Jul,4369786
2012,Aug,4898843
2012,Sep,3785018
2012,Oct,4243787
2012,Nov,4216937
2012,Dec,4777988
2013,Jan,4632926
2013,Feb,4022120
2013,Mar,4087286
2013,Apr,4279889
2013,May,4142301
2013,Jun,4201331
2013,Jul,4831521
2013,Aug,5358087
2013,Sep,4309304
2013,Oct,4632034
2013,Nov,4579681
2013,Dec,5222324
2014,Jan,5455371
2014,Feb,4417376
2014,Mar,4825234
2014,Apr,4747960
2014,May,4590579
2014,Jun,4492695
2014,Jul,5373518
2014,Aug,6009577
2014,Sep,4746782
2014,Oct,5213702
2014,Nov,5299680
2014,Dec,5666362
2015,Jan,5609698
2015,Feb,5405689
2015,Mar,4405298
2015,Apr,4789112
2015,May,4756215
2015,Jun,4361228
2015,Jul,4923431
2015,Aug,5614852
2015,Sep,4558800
2015,Oct,5073494
2015,Nov,4748715
2015,Dec,5061064
2016,Jan,5225578
2016,Feb,4295731
2016,Mar,4213801
2016,Apr,4686316
2016,May,4453118
2016,Jun,4285730
2016,Jul,5049022
2016,Aug,5086496
2016,Sep,4422441
2016,Oct,4953705
2016,Nov,4646938
2016,Dec,5336027
2017,Jan,5475176
2017,Feb,4181417
2017,Mar,4586186
2017,Apr,4775834
2017,May,4587014
2017,Jun,4203256
2017,Jul,5167700
2017,Aug,5023433
2017,Sep,4635161
2017,Oct,5278677
2017,Nov,4971119
2017,Dec,5587184
2018,Jan,5333562
2018,Feb,5280971
2018,Mar,4995122
2018,Apr,5301602
2018,May,4953003
2018,Jun,4741779
2018,Jul,5461222
2018,Aug,5895951
2018,Sep,4718536
2018,Oct,5884512
2018,Nov,5995027
2018,Dec,6586268
2019,Jan,6784406
2019,Feb,5589628
2019,Mar,5860346
2019,Apr,5577201
2019,May,5916541
2019,Jun,5143734
2019,Jul,5196969
2019,Aug,3590571
2019,Sep,3104049
2019,Oct,3311571
2019,Nov,2646127
2019,Dec,3191466
2020,Jan,3207802
2020,Feb,199123
2020,Mar,82285
2020,Apr,4125
2020,May,8139
2020,Jun,14606
2020,Jul,20568
2020,Aug,4449
2020,Sep,9132
2020,Oct,7817
2020,Nov,5962
2020,Dec,4867
2021,Jan,4368
2021,Feb,5495
2021,Mar,6675
2021,Apr,5706
2021,May,5305
2021,Jun,6200
2021,Jul,8666
2021,Aug,10811
2021,Sep,9879
2021,Oct,9353
2021,Nov,9492
2021,Dec,9448
2022,Jan,7064
2022,Feb,2626
2022,Mar,1800
2022,Apr,4692
2022,May,18710
2022,Jun,41112
2022,Jul,48048
2022,Aug,59610
2022,Sep,66037
2022,Oct,80524
2022,Nov,113763
2022,Dec,160578
2023,Jan,498689
2023,Feb,1461969
2023,Mar,2454093
2023,Apr,2892256
2023,May,2828384
2023,Jun,2748488
2023,Jul,3588530
2023,Aug,4077746
2023,Sep,2771826
2023,Oct,3458778
2023,Nov,3288915
2023,Dec,3929986
2024,Jan,3825617
2024,Feb,4001190
2024,Mar,3401991
2024,Apr,3391381
2024,May,3398458
2024,Jun,3132598
2024,Jul,3921630
2024,Aug,4453877
2024,Sep,3062003
2024,Oct,4090054
2024,Nov,3568437
2024,Dec,4255551
2025,Jan,4742066
2025,Feb,3667671
2025,Mar,3818512
2025,Apr,3847934
2025,May,4078938
2025,Jun,3480979
2025,Jul,4390514
2025,Aug,5152837
2025,Sep,3292197
2025,Oct,4588515
2025,Nov,4189272
2025,Dec,4645397